x                 ,y              rho[i][j],    u[i][j],    v[i][j],      p[i][j],      T[i][j],      Ma[i][j]
0.2280000000    0.1300600000    1.1013887032    637.0171267708    18.9900094232    92387.1869797754    292.2122684087    1.8597065380
0.2280000000    0.1359200000    1.0894060371    638.8913942111    22.1748217338    90991.1415190977    290.9622559355    1.8694755290
0.2280000000    0.1417800000    1.0763198729    640.9256612982    25.7049195568    89474.1450696037    289.5899712544    1.8802454256
0.2280000000    0.1476400000    1.0621360719    643.1157593230    29.5928360414    87838.8639922095    288.0937731070    1.8920436483
0.2280000000    0.1535000000    1.0468681840    645.4556173521    33.8503620499    86089.0061049349    286.4725489547    1.9048945521
0.2280000000    0.1593600000    1.0305357631    647.9372839363    38.4888945416    84229.1029982586    284.7255413105    1.9188201957
0.2280000000    0.1652200000    1.0131628219    650.5518260466    43.5199442922    82264.3141267503    282.8521965508    1.9338437204
0.2280000000    0.1710800000    0.9947759490    653.2895424280    48.9555857895    80200.1959536765    280.8519685168    1.9499909887
0.2280000000    0.1769400000    0.9753985387    656.1486872204    54.8083460130    78042.0868645935    278.7238247205    1.9673186319
0.2280000000    0.1828000000    0.9550601729    659.1422029292    61.0890019491    75796.2170188512    276.4675189850    1.9859299453
0.2280000000    0.1886600000    0.9338123701    662.2589569656    67.8045880714    73471.2334593321    274.0848482039    2.0058541655
0.2280000000    0.1945200000    0.9117073389    665.4635629530    74.9621512294    71075.7180781110    271.5770864838    2.0270546503
0.2280000000    0.2003800000    0.8888104334    668.6983392624    82.5728779917    68619.4050992400    268.9460214617    2.0494314988
0.2280000000    0.2062400000    0.8651563241    671.9195820976    90.6560781117    66108.5942939178    266.1893375125    2.0729505592
0.2280000000    0.2121000000    0.8407785798    675.1302481040    99.2356465186    63549.7726984329    263.3053492326    2.0977268425
0.2280000000    0.2179600000    0.8157152412    678.3241723978    108.3339292509    60949.8870043784    260.2924956310    2.1238574514
0.2280000000    0.2238200000    0.7900016424    681.4812859345    117.9738466775    58315.4904758904    257.1480634248    2.1514135432
0.2280000000    0.2296800000    0.7636706030    684.5775415053    128.1806782175    55652.8349353954    253.8683372283    2.1804723221
0.2280000000    0.2355400000    0.7367516904    687.5863142038    138.9835028200    52967.8157080785    250.4483889292    2.2111254729
0.2280000000    0.2414000000    0.7092698038    690.4781643245    150.4167381073    50265.8510948729    246.8816942471    2.2434844842
0.2280000000    0.2472600000    0.6812423053    693.2203118456    162.5224155000    47551.6364333942    243.1594636957    2.2776883470
0.2280000000    0.2531200000    0.6526736245    695.7759437258    175.3540427391    44828.6887295873    239.2694727356    2.3139166206
0.2280000000    0.2589800000    0.6235447701    698.1032618077    188.9838458358    42098.4757575023    235.1938981537    2.3524133809
0.2280000000    0.2648400000    0.5937908276    700.1541108751    203.5179817380    39358.5610629959    230.9048457896    2.3935364351
0.2280000000    0.2707000000    0.5632440237    701.8719480500    219.1339565385    36597.9544906737    226.3536697667    2.4378755659
0.2280000000    0.2765600000    0.5314559697    703.1889359247    236.1965196702    33782.4754452234    221.4376682021    2.4866189303
0.2280000000    0.2824200000    0.4968141342    704.0194649913    255.7706708900    30788.9824856086    215.8881044807    2.5429670315
0.2280000000    0.2882800000    0.4418399857    703.8033092898    289.7615739651    26145.1316157306    206.1356636376    2.6443879141
0.2320000000    0.0080000000    1.1763704347    625.0040934849    0.1026698909    101278.5815908027    299.9168243069    1.8002469968
0.2320000000    0.0138400000    1.1761931711    625.0331156142    0.1511691891    101257.2197514405    299.8987561864    1.8003848517
0.2320000000    0.0196800000    1.1759386055    625.0749881099    0.2149949467    101226.5459081609    299.8728099050    1.8005834097
0.2320000000    0.0255200000    1.1755875300    625.1327983598    0.3002015832    101184.2500288038    299.8370289655    1.8008574811
0.2320000000    0.0313600000    1.1751139326    625.2107672952    0.4138507351    101127.2057095185    299.7887637738    1.8012272566
0.2320000000    0.0372000000    1.1744848835    625.3142477747    0.5643341065    101051.4589865092    299.7246600520    1.8017183627
0.2320000000    0.0430400000    1.1736603140    625.4497454503    0.7616186696    100952.2051727051    299.6406357372    1.8023620278
0.2320000000    0.0488800000    1.1725928548    625.6249289957    1.0174157108    100823.7745528522    299.5318633183    1.8031952208
0.2320000000    0.0547200000    1.1712278827    625.8486042977    1.3452686277    100659.6450938942    299.3927721256    1.8042606501
0.2320000000    0.0605600000    1.1695038943    626.1306323723    1.7605513617    100452.4968951594    299.2170820700    1.8056065371
0.2320000000    0.0664000000    1.1673532897    626.4817773623    2.2803704171    100194.3185747066    298.9978764901    1.8072861068
0.2320000000    0.0722400000    1.1647036032    626.9134790978    2.9233683544    99876.5700769879    298.7277171173    1.8093567762
0.2320000000    0.0780800000    1.1614791673    627.4375539339    3.7094345590    99490.3997469094    298.3987989536    1.8118790567
0.2320000000    0.0839200000    1.1576031379    628.0658370325    4.6593384714    99026.9065529215    298.0031376181    1.8149152295
0.2320000000    0.0897600000    1.1529997638    628.8097876803    5.7943094476    98477.4319599224    297.5327771402    1.8185278833
0.2320000000    0.0956000000    1.1475967408    629.6800852790    7.1355941922    97833.8611688148    296.9800030068    1.8227784268
0.2320000000    0.1014400000    1.1413274763    630.6862462450    8.7040259156    97088.9111176309    296.3375440478    1.8277256989
0.2320000000    0.1072800000    1.1341330921    631.8362907155    10.5196384283    96236.3832321575    295.5987476675    1.8334247874
0.2320000000    0.1131200000    1.1259640191    633.1364829669    12.6013536143    95271.3623136343    294.7577157619    1.8399261509
0.2320000000    0.1189600000    1.1167810798    634.5911617320    14.9667632117    94190.3485098454    293.8093928151    1.8472751038
0.2320000000    0.1248000000    1.1065560059    636.2026673970    17.6320170590    92991.3160437871    292.7496023528    1.8555116932
0.2320000000    0.1306400000    1.0952713897    637.9713631595    20.6118213572    91673.6992465241    291.5750324563    1.8646709602
0.2320000000    0.1364800000    1.0829201161    639.8957354092    23.9195429471    90238.3127008483    290.2831749558    1.8747835400
0.2320000000    0.1423200000    1.0695043643    641.9725375577    27.5674090956    88687.2175665290    288.8722260476    1.8858764922
0.2320000000    0.1481600000    1.0550342995    644.1968948577    31.5667842270    87023.5497343389    287.3409577355    1.8979741127
0.2320000000    0.1540000000    1.0395265515    646.5622477030    35.9284825802    85251.3224725154    285.6885650649    1.9110983708
0.2320000000    0.1598400000    1.0230026063    649.0603924594    40.6631055072    83375.2202494930    283.9145001714    1.9252697209
0.2320000000    0.1656800000    1.0054873768    651.6823267274    45.7815208253    81400.4192964977    282.0183314323    1.9405103097
0.2320000000    0.1715200000    0.9870073728    654.4188473998    51.2952330020    79332.3683821138    279.9995559222    1.9568467407
0.2320000000    0.1773600000    0.9675839687    657.2741920260    57.2158285510    77176.0993685480    277.8570880526    1.9743528101
0.2320000000    0.1832000000    0.9472542244    660.2578288455    63.5521342961    74938.5383152263    275.5916066162    1.9931168381
0.2320000000    0.1890400000    0.9260689708    663.3567939436    70.3102300341    72628.0881849452    273.2049721176    2.0131605035
0.2320000000    0.1948800000    0.9040811381    666.5322306840    77.4966108487    70253.2105220215    270.6986481003    2.0344337766
0.2320000000    0.2007200000    0.8813503495    669.7221092967    85.1225810711    67822.7794190271    268.0737699314    2.0568235849
0.2320000000    0.2065600000    0.8579033463    672.8922734029    93.2078444127    65342.1151782822    265.3274276223    2.0803246331
0.2320000000    0.2124000000    0.8337747085    676.0450122218    101.7745721380    62817.6360182618    262.4582272375    2.1050457609
0.2320000000    0.2182400000    0.8090016597    679.1743802979    110.8442435198    60256.0165309646    259.4647260942    2.1310809681
0.2320000000    0.2240800000    0.7836183631    682.2612670706    120.4390554613    57663.5006932770    256.3443320484    2.1585000774
0.2320000000    0.2299200000    0.7576562792    685.2824835308    130.5833620210    55046.0076377663    253.0934574610    2.1873779828
0.2320000000    0.2357600000    0.7311433789    688.2123603288    141.3050751302    52409.0741466400    249.7073096682    2.2178035551
0.2320000000    0.2416000000    0.7041027892    691.0225965567    152.6371969390    49757.7427639902    246.1795226986    2.2498850191
0.2320000000    0.2474400000    0.6765500448    693.6817684029    164.6200787588    47096.3296014037    242.5015141033    2.2837574506
0.2320000000    0.2532800000    0.6484878075    696.1546758741    177.3052424471    44427.9814592670    238.6613463733    2.3195955488
0.2320000000    0.2591200000    0.6198954639    698.4014615184    190.7625522308    41753.8135591959    234.6415985471    2.3576372491
0.2320000000    0.2649600000    0.5907066305    700.3763655880    205.0953482963    39071.0558808040    230.4149329526    2.3982326207
0.2320000000    0.2708000000    0.5607521510    702.0259062308    220.4778222015    36368.3951396809    225.9334365872    2.4419620193
0.2320000000    0.2766400000    0.5295829379    703.2860601532    237.2704978796    33611.4074136243    221.0955659803    2.4900002472
0.2320000000    0.2824800000    0.4956069141    704.0735725528    256.5253698440    30678.0801536132    215.6344476869    2.5455115152
0.2320000000    0.2883200000    0.4416858006    703.8362330614    289.9029784157    26126.4561033401    206.0603276777    2.6451641619
0.2360000000    0.0090000000    1.1762069759    625.0312697378    0.1368848910    101258.8827524103    299.9001617082    1.8003753063
0.2360000000    0.0148200000    1.1759813274    625.0681952026    0.1989935631    101231.6929704955    299.8771629717    1.8005507582
0.2360000000    0.0206400000    1.1756613305    625.1207966009    0.2796411338    101193.1401370438    299.8445493249    1.8008002962
0.2360000000    0.0264600000    1.1752253826    625.1925362353    0.3858395681    101140.6281088687    299.8001204851    1.8011405661
0.2360000000    0.0322800000    1.1746445512    625.2880953805    0.5256056619    101070.6825611507    299.7409294370    1.8015940170
0.2360000000    0.0381000000    1.1738826990    625.4133314561    0.7082790641    100978.9691291388    299.6632948348    1.8021887726
0.2360000000    0.0439200000    1.1728965213    625.5752536987    0.9447442354    100860.3023178483    299.5628038628    1.8029585999
0.2360000000    0.0497400000    1.1716356660    625.7819846639    1.2475604494    100708.6661369331    299.4343225580    1.8039428362
0.2360000000    0.0555600000    1.1700430780    626.0426834122    1.6309989609    100517.2637625094    299.2720273850    1.8051861682
0.2360000000    0.0613800000    1.1680556707    626.3674129677    2.1109849150    100278.6089322975    299.0694679284    1.8067381899
0.2360000000    0.0672000000    1.1656053838    626.7669425775    2.7049437715    99984.6662393087    298.8196659928    1.8086526991
0.2360000000    0.0730200000    1.1626206364    627.2524841989    3.4315573874    99627.0411578010    298.5152513442    1.8109867326
0.2360000000    0.0788400000    1.1590281322    627.8353718027    4.3104422936    99197.2139791881    298.1486292144    1.8137993776
0.2360000000    0.0846600000    1.1547549231    628.5267004791    5.3617705140    98686.8055752681    297.7121700832    1.8171504302
0.2360000000    0.0904800000    1.1497305990    629.3369488067    6.6058598151    98087.8578951905    297.1984088004    1.8210989987
0.2360000000    0.0963000000    1.1438894489    630.2756114974    8.0627641094    97393.1091334847    296.6002383158    1.8257021585
0.2360000000    0.1021200000    1.1371724331    631.3508693709    9.7518950530    96596.2430908193    295.9110834350    1.8310137674
0.2360000000    0.1079400000    1.1295288237    632.5693202874    11.6917026225    95692.0944538637    295.1250420093    1.8370835324
0.2360000000    0.1137600000    1.1209174021    633.9357884461    13.8994363473    94676.7961284907    294.2369843814    1.8439563935
0.2360000000    0.1195800000    1.1113071504    635.4532215230    16.3910010971    93547.8605782211    293.2426060816    1.8516722632
0.2360000000    0.1254000000    1.1006774160    637.1226765906    19.1809132174    92304.1934000141    292.1384330179    1.8602661248
0.2360000000    0.1312200000    1.0890175768    638.9433871025    22.2823554490    90946.0432683710    290.9217821759    1.8697684671
0.2360000000    0.1370400000    1.0763262737    640.9128927905    25.7073230001    89474.8973446993    289.5906838665    1.8802059965
0.2360000000    0.1428600000    1.0626103052    643.0271950571    29.4668481179    87893.3350003177    288.1437736768    1.8916025145
0.2360000000    0.1486800000    1.0478832972    645.2808595160    33.5712838490    86204.8545520557    286.5801627556    1.9039797215
0.2360000000    0.1545000000    1.0321642326    647.6669644422    38.0306090923    84413.6838264745    284.8992902972    1.9173576581
0.2360000000    0.1603200000    1.0154759513    650.1771518110    42.8547487512    82524.5892074410    283.1007681938    1.9317555249
0.2360000000    0.1661400000    0.9978438564    652.8024404759    48.0540134965    80542.7146669831    281.1842526766    1.9471947720
0.2360000000    0.1719600000    0.9792937389    655.5349967780    53.6393199913    78473.3332167630    279.1492347592    1.9637054228
0.2360000000    0.1777800000    0.9598468058    658.3845600907    59.6211341450    76321.3787349640    276.9947914487    1.9813761719
0.2360000000    0.1836000000    0.9395466508    661.3553841887    66.0063768118    74094.3524258542    274.7224035078    2.0002754003
